id,type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10640355,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,310000,1,35,1,0,0,0,0,0,0,69,0,2,0,just_renovated
10183530,APARTMENT,APARTMENT,Brussels,Brussels City,1000,375000,2,0,1,1,0,1,25,0,0,95,0,2,0,good
10070305,APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000,385000,0,0,1,1,0,0,0,0,0,55,0,2,0,as_new
10614932,APARTMENT,APARTMENT,Brussels,Brussels City,1000,395000,2,0,1,1,1,1,4,0,0,92,0,0,0,good
10662541,APARTMENT,DUPLEX,Brussels,Bruxelles,1000,249000,1,30,1,0,0,0,0,0,0,90,0,2,0,good
10572657,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,410000,3,18,1,0,0,0,0,0,0,128,0,4,0,as_new
10487213,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,410000,2,0,1,0,0,0,0,0,0,112,0,4,0,as_new
10522044,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,420000,3,19,1,0,0,0,0,0,0,131,0,4,0,as_new
10567890,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,425000,2,31,1,1,0,1,6,0,0,102,0,0,0,as_new
10462628,APARTMENT,APARTMENT,Brussels,BRUXELLES,1000,393000,2,0,1,0,1,1,8,0,0,96,0,2,0,good
10641182,HOUSE,EXCEPTIONAL_PROPERTY,Brussels,Bruxelles,1000,720000,4,20,1,0,0,1,32,0,0,180,96,2,0,as_new
10614478,APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000,215000,0,20,0,0,0,0,0,0,0,35,0,2,0,0
10670239,APARTMENT,APARTMENT,Brussels,Brussel,1000,179000,1,0,0,1,0,0,0,0,0,0,0,0,0,good
10665503,APARTMENT,GROUND_FLOOR,Brussels,Brussel,1000,395000,2,35,1,0,0,1,0,1,50,92,0,2,0,as_new
10665340,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,350000,2,27,1,0,0,1,24,0,0,92,0,3,0,good
10675456,HOUSE,HOUSE,Brussels,Bruxelles,1000,580000,4,0,1,0,0,0,0,0,0,179,80,2,0,needs renovating
10066048,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,490000,1,0,1,1,0,0,0,0,0,73,0,2,0,as_new
10283839,APARTMENT,GROUND_FLOOR,Brussels,Bruxelles,1000,229000,1,0,0,0,0,0,0,0,0,61,0,2,0,needs renovating
10600937,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,225000,2,0,0,0,0,1,15,0,0,85,0,0,0,0
10570304,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,530000,2,49,1,0,0,1,13,0,0,148,0,2,0,as_new
10449929,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,550000,3,0,1,0,1,1,10,0,0,108,0,0,0,good
10411864,APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000,204500,0,0,1,0,0,0,0,0,0,31,0,0,0,good
10363562,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,244000,1,25,1,0,0,1,3,0,0,65,0,2,0,good
10671697,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,360000,2,39,1,0,0,1,15,0,0,128,0,2,0,good
10185299,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,375000,2,32,1,0,0,1,9,0,0,88,0,2,0,as_new
10622358,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,200000,1,0,1,0,0,0,0,0,0,55,0,2,0,needs renovating
10647097,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,450000,3,68,1,0,1,1,25,0,0,117,0,2,0,good
10563228,APARTMENT,APARTMENT,Brussels,Bruxelles,1000,489999,3,37,1,0,0,1,27,0,0,115,0,2,0,as_new
10384121,APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000,310000,0,0,1,1,0,0,0,0,0,43,0,2,0,as_new
10620502,APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000,290000,1,26,1,0,0,0,0,0,0,50,0,2,0,as_new
10568886,APARTMENT,APARTMENT,Brussels,Brussels City,1000,540000,2,0,1,0,0,1,52,0,0,118,0,4,0,as_new
