type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
HOUSE,HOUSE,Flemish Brabant,ZICHEM,3271.0,350000.0,3,0,1.0,0.0,1,1.0,25.0,1.0,0.0,140.0,2590.0,4.0,0,0
HOUSE,HOUSE,Antwerp,Nijlen,2560.0,389000.0,3,0,1.0,0.0,0,1.0,40.0,1.0,260.0,160.0,570.0,4.0,0,1
HOUSE,HOUSE,West Flanders,Oudenburg,8460.0,389000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,133.0,347.0,3.0,0,1
HOUSE,HOUSE,West Flanders,Brugge,8000.0,389000.0,6,0,1.0,0.0,0,1.0,0.0,1.0,119.0,210.0,220.0,2.0,0,0
HOUSE,HOUSE,West Flanders,Blankenberge,8370.0,389000.0,3,0,1.0,1.0,1,1.0,17.0,0.0,0.0,222.0,111.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Evere,1140.0,385000.0,2,0,1.0,1.0,0,1.0,5.0,0.0,0.0,100.0,0.0,2.0,0,1
HOUSE,HOUSE,Liège,Huy,4500.0,385000.0,6,0,1.0,0.0,1,1.0,10.0,1.0,300.0,300.0,422.0,2.0,0,1
HOUSE,VILLA,Hainaut,Leuze-En-Hainaut,7900.0,385000.0,3,0,1.0,0.0,1,1.0,0.0,0.0,0.0,130.0,849.0,4.0,1,1
HOUSE,HOUSE,Antwerp,ITEGEM,2222.0,385000.0,3,0,0.0,0.0,1,1.0,40.0,1.0,230.0,204.0,0.0,3.0,0,1
HOUSE,HOUSE,Liège,Huy,4500.0,385000.0,6,0,1.0,0.0,1,1.0,10.0,1.0,300.0,300.0,422.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Oostende,8400.0,385000.0,3,0,1.0,0.0,1,1.0,0.0,1.0,0.0,158.0,280.0,3.0,0,1
HOUSE,HOUSE,Liège,Theux,4910.0,385000.0,5,0,0.0,0.0,0,0.0,0.0,1.0,1400.0,277.0,1750.0,3.0,0,0
HOUSE,MIXED_USE_BUILDING,Liège,Angleur,4031.0,385000.0,5,0,0.0,0.0,1,0.0,0.0,0.0,0.0,177.0,138.0,2.0,0,1
APARTMENT,APARTMENT,East Flanders,Gent,9000.0,385000.0,1,0,1.0,0.0,0,0.0,0.0,0.0,0.0,98.0,0.0,2.0,0,0
APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,385000.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0,1
HOUSE,HOUSE,Antwerp,SINT-KATELIJNE-WAVER,2860.0,385000.0,3,0,1.0,0.0,1,1.0,0.0,1.0,0.0,120.0,110.0,2.0,0,1
HOUSE,VILLA,Hainaut,GRANDMETZ,7900.0,385000.0,3,0,1.0,0.0,1,1.0,0.0,0.0,0.0,130.0,849.0,4.0,1,1
HOUSE,HOUSE,Flemish Brabant,Londerzeel,1840.0,395000.0,4,0,1.0,0.0,1,0.0,0.0,1.0,0.0,202.0,247.0,2.0,0,1
APARTMENT,FLAT_STUDIO,West Flanders,Knokke-Heist,8300.0,395000.0,0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,34.0,0.0,2.0,0,1
HOUSE,APARTMENT_BLOCK,East Flanders,Eeklo,9900.0,395000.0,5,0,1.0,0.0,0,0.0,0.0,1.0,0.0,230.0,137.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Mol,2400.0,390000.0,4,0,1.0,0.0,0,0.0,0.0,0.0,0.0,191.0,2399.0,4.0,0,0
APARTMENT,LOFT,Brussels,Anderlecht,1070.0,390000.0,2,0,1.0,0.0,0,1.0,20.0,0.0,0.0,138.0,0.0,2.0,0,1
HOUSE,HOUSE,Walloon Brabant,Braine-l'Alleud,1420.0,390000.0,3,0,1.0,0.0,1,1.0,0.0,0.0,0.0,171.0,268.0,2.0,0,1
