id,type_of_property,subtype_of_property,province,locality,postalCode,price,number_of_bedrooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_property_area,total_land_area,number_of_facades,swimming_pool,state_of_the_building
10559233.0,HOUSE,HOUSE,Flemish Brabant,ZICHEM,3271.0,350000.0,3.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,0.0,140.0,2590.0,4.0,0.0,0
10673158.0,HOUSE,HOUSE,Antwerp,Nijlen,2560.0,389000.0,3.0,0.0,1.0,0.0,0.0,1.0,40.0,1.0,260.0,160.0,570.0,4.0,0.0,1
10470833.0,HOUSE,HOUSE,West Flanders,Oudenburg,8460.0,389000.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,133.0,347.0,3.0,0.0,1
10560493.0,HOUSE,HOUSE,West Flanders,Brugge,8000.0,389000.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,119.0,210.0,220.0,2.0,0.0,0
10452028.0,HOUSE,HOUSE,West Flanders,Blankenberge,8370.0,389000.0,3.0,0.0,1.0,1.0,1.0,1.0,17.0,0.0,0.0,222.0,111.0,2.0,0.0,1
10668996.0,APARTMENT,APARTMENT,Brussels,Evere,1140.0,385000.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,100.0,0.0,2.0,0.0,1
10616773.0,HOUSE,HOUSE,Liège,Huy,4500.0,385000.0,6.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,300.0,300.0,422.0,2.0,0.0,1
10632064.0,HOUSE,VILLA,Hainaut,Leuze-En-Hainaut,7900.0,385000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,130.0,849.0,4.0,1.0,1
10592559.0,HOUSE,HOUSE,Antwerp,ITEGEM,2222.0,385000.0,3.0,0.0,0.0,0.0,1.0,1.0,40.0,1.0,230.0,204.0,0.0,3.0,0.0,1
10616923.0,HOUSE,HOUSE,Liège,Huy,4500.0,385000.0,6.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,300.0,300.0,422.0,2.0,0.0,1
10635685.0,HOUSE,HOUSE,West Flanders,Oostende,8400.0,385000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,158.0,280.0,3.0,0.0,1
10560721.0,HOUSE,HOUSE,Liège,Theux,4910.0,385000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1400.0,277.0,1750.0,3.0,0.0,0
10574193.0,HOUSE,MIXED_USE_BUILDING,Liège,Angleur,4031.0,385000.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,177.0,138.0,2.0,0.0,1
10607105.0,APARTMENT,APARTMENT,East Flanders,Gent,9000.0,385000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,2.0,0.0,0
10070305.0,APARTMENT,FLAT_STUDIO,Brussels,Bruxelles,1000.0,385000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0.0,1
10653131.0,HOUSE,HOUSE,Antwerp,SINT-KATELIJNE-WAVER,2860.0,385000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,120.0,110.0,2.0,0.0,1
10604048.0,HOUSE,VILLA,Hainaut,GRANDMETZ,7900.0,385000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,130.0,849.0,4.0,1.0,1
10431543.0,HOUSE,HOUSE,Flemish Brabant,Londerzeel,1840.0,395000.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,202.0,247.0,2.0,0.0,1
10451133.0,APARTMENT,FLAT_STUDIO,West Flanders,Knokke-Heist,8300.0,395000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0,1
10672395.0,HOUSE,APARTMENT_BLOCK,East Flanders,Eeklo,9900.0,395000.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,230.0,137.0,2.0,0.0,1
10415190.0,HOUSE,HOUSE,Antwerp,Mol,2400.0,390000.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,2399.0,4.0,0.0,0
10466936.0,APARTMENT,LOFT,Brussels,Anderlecht,1070.0,390000.0,2.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,138.0,0.0,2.0,0.0,1
10580647.0,HOUSE,HOUSE,Walloon Brabant,Braine-l'Alleud,1420.0,390000.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,171.0,268.0,2.0,0.0,1
10449074.0,HOUSE,APARTMENT_BLOCK,Flemish Brabant,Aarschot,3200.0,390000.0,3.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,60.0,190.0,373.0,3.0,0.0,0
10676472.0,APARTMENT,APARTMENT,Brussels,Uccle,1180.0,390000.0,2.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,55.0,84.0,0.0,4.0,0.0,0
10446997.0,HOUSE,APARTMENT_BLOCK,Flemish Brabant,Aarschot,3200.0,390000.0,3.0,0.0,1.0,0.0,1.0,1.0,15.0,1.0,60.0,194.0,319.0,3.0,0.0,0
10512122.0,APARTMENT,DUPLEX,Antwerp,Boechout,2530.0,390000.0,2.0,0.0,1.0,0.0,0.0,1.0,35.0,0.0,0.0,105.0,0.0,2.0,0.0,1
10490005.0,HOUSE,HOUSE,Flemish Brabant,SINT-BRIXIUS-RODE,1860.0,390000.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,156.0,638.0,3.0,0.0,0
10676496.0,APARTMENT,PENTHOUSE,Brussels,Bruxelles,1000.0,390000.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,94.0,0.0,4.0,0.0,1
10430455.0,HOUSE,HOUSE,Brussels,Molenbeek-Saint-Jean,1080.0,379000.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,250.0,100.0,2.0,0.0,0
10671758.0,HOUSE,APARTMENT_BLOCK,Antwerp,Mechelen,2800.0,379000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,176.0,85.0,2.0,0.0,0
10616663.0,HOUSE,HOUSE,Flemish Brabant,Diest,3290.0,379000.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,175.0,1039.0,4.0,0.0,0
10678050.0,APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,379000.0,2.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,88.0,0.0,4.0,0.0,1
10607486.0,HOUSE,MANSION,East Flanders,Kluisbergen,9690.0,379000.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,200.0,1605.0,4.0,0.0,1
10658203.0,HOUSE,HOUSE,East Flanders,Boekhoute,9961.0,379000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180.0,1249.0,3.0,0.0,1
