id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10679324,HOUSE,HOUSE,Seraing,Liège,4100,159000,residential_sale,3,14,installed,False,False,True,64.0,True,106.0,87.0,145.0,2.0,False,just_renovated
10679325,HOUSE,HOUSE,Vise,Liège,4600,229000,residential_sale,3,19,installed,False,False,True,136.0,,,145.0,184.0,3.0,False,good
10679351,HOUSE,VILLA,Vilvoorde,Flemish Brabant,1800,430000,residential_sale,3,17,semi_equipped,False,False,True,40.0,True,400.0,132.0,623.0,3.0,False,good
10679090,HOUSE,HOUSE,Oudenaarde,East Flanders,9700,439000,residential_sale,2,21,hyper_equipped,False,False,True,25.0,True,420.0,161.0,680.0,4.0,False,as_new
10678835,HOUSE,HOUSE,Dilbeek,Flemish Brabant,1700,529000,residential_sale,4,29,installed,,False,True,,,,315.0,8002.0,3.0,False,to_renovate
10679053,HOUSE,HOUSE,Gent,East Flanders,9000,785000,residential_sale,4,46,semi_equipped,False,False,True,33.0,True,93.0,266.0,262.0,2.0,False,to_renovate
10675619,HOUSE,HOUSE,Ronse,East Flanders,9600,135000,residential_sale,5,18,installed,False,False,,,,,162.0,60.0,2.0,False,good
10677619,HOUSE,HOUSE,Liege,Liège,4031,179000,residential_sale,3,29,installed,False,False,True,16.0,True,43.0,137.0,145.0,2.0,False,good
10673624,HOUSE,VILLA,Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,Walloon Brabant,1421,529000,residential_sale,3,59,installed,False,False,True,20.0,True,800.0,165.0,1200.0,4.0,False,to_be_done_up
10673197,HOUSE,TOWN_HOUSE,Watermael-Boitsfort,Brussels,1170,749000,residential_sale,5,43,installed,False,False,True,14.0,True,152.0,205.0,220.0,2.0,False,to_be_done_up
10673001,HOUSE,VILLA,Zaventem,Flemish Brabant,1933,755000,residential_sale,5,60,hyper_equipped,,False,True,33.0,True,300.0,241.0,500.0,4.0,False,good
10671514,HOUSE,MIXED_USE_BUILDING,Ronse,East Flanders,9600,295000,residential_sale,5,23,installed,False,False,,,,,339.0,160.0,2.0,False,to_be_done_up
10671574,HOUSE,HOUSE,Antwerp,Antwerp,2018,910000,residential_sale,5,0,usa_hyper_equipped,,False,True,18.0,True,131.0,310.0,242.0,2.0,,good
10678894,HOUSE,HOUSE,Schaerbeek,Brussels,1030,595000,residential_sale,4,26,usa_hyper_equipped,False,False,True,,True,30.0,175.0,1.0,2.0,False,as_new
10678805,HOUSE,MIXED_USE_BUILDING,Saint-Gilles,Brussels,1060,795000,residential_sale,6,0,installed,False,False,,,True,20.0,300.0,250.0,2.0,False,good
10668977,HOUSE,HOUSE,Seraing,Liège,4100,149000,residential_sale,2,14,semi_equipped,False,False,True,,True,25.0,105.0,105.0,2.0,False,good
10669506,HOUSE,HOUSE,Anderlecht,Brussels,1070,399000,residential_sale,4,0,semi_equipped,False,False,True,10.0,True,140.0,170.0,210.0,2.0,False,to_be_done_up
10669505,HOUSE,VILLA,Wavre,Walloon Brabant,1300,435000,residential_sale,4,57,usa_installed,False,False,True,30.0,True,526.0,185.0,748.0,4.0,False,good
10669507,HOUSE,EXCEPTIONAL_PROPERTY,Anderlecht,Brussels,1070,960000,residential_sale,6,70,usa_hyper_equipped,False,False,True,40.0,True,290.0,400.0,1090.0,3.0,False,as_new
10678123,HOUSE,HOUSE,Bouge,Namur,5004,210000,residential_sale,2,45,installed,,True,,,True,85.0,83.0,166.0,3.0,,to_be_done_up
10677787,HOUSE,MIXED_USE_BUILDING,Andenne,Namur,5300,245000,residential_sale,4,24,installed,,True,True,40.0,,,240.0,214.0,2.0,,to_be_done_up
10576366,HOUSE,HOUSE,Braine-l'Alleud,Walloon Brabant,1420,260000,residential_sale,2,24,installed,,False,True,20.0,True,55.0,130.0,155.0,2.0,,good
10675317,HOUSE,HOUSE,Sprimont,Liège,4140,349000,residential_sale,4,17,installed,False,False,True,30.0,True,120.0,175.0,311.0,3.0,False,to_be_done_up
10678111,HOUSE,HOUSE,ZERKEGEM,West Flanders,8490,440000,residential_sale,3,0,installed,,True,True,,,,161.0,1846.0,4.0,,good
10675584,HOUSE,HOUSE,Ottignies-Louvain-la-Neuve Céroux-Mousty,Walloon Brabant,1341,465000,residential_sale,3,20,semi_equipped,False,False,,,True,800.0,230.0,837.0,4.0,False,good
10677091,HOUSE,VILLA,Nieuwpoort,West Flanders,8620,520000,residential_sale,4,0,installed,False,False,True,40.0,True,400.0,221.0,753.0,4.0,False,to_be_done_up
10675314,HOUSE,HOUSE,Etterbeek,Brussels,1040,595000,residential_sale,3,32,installed,False,False,True,,,,150.0,140.0,3.0,False,to_renovate
10676873,HOUSE,HOUSE,Tervuren,Flemish Brabant,3080,935000,residential_sale,5,0,installed,,True,True,28.0,True,,295.0,1362.0,4.0,,to_be_done_up
10666853,HOUSE,HOUSE,Saint-Nicolas,Liège,4420,319000,residential_sale,3,29,usa_installed,False,False,True,34.0,True,82.0,194.0,197.0,2.0,False,as_new
10667297,HOUSE,HOUSE,Gent,East Flanders,9000,319000,residential_sale,3,21,usa_semi_equipped,False,False,,,True,8.0,154.0,55.0,2.0,False,to_be_done_up
10678924,APARTMENT,APARTMENT,Wichelen Serskamp,East Flanders,9260,195000,residential_sale,2,0,usa_hyper_equipped,False,False,True,,,,91.0,,3.0,False,as_new
10679101,APARTMENT,PENTHOUSE,Liège,Liège,4020,375000,residential_sale,3,62,not_installed,False,False,,,,,214.0,,2.0,False,to_be_done_up
10677844,APARTMENT,APARTMENT,Gent,East Flanders,9000,185000,residential_sale,2,30,semi_equipped,,True,True,2.0,,,101.0,,2.0,,to_restore
10676921,APARTMENT,FLAT_STUDIO,SINT-LAMBRECHTS-WOLUWE,Brussels,1200,199000,residential_sale,0,0,installed,True,True,True,3.0,,,31.0,0.0,4.0,,good
10677802,APARTMENT,APARTMENT,Deurne,Antwerp,2100,245000,residential_sale,2,38,installed,,True,True,6.0,,,106.0,,3.0,,just_renovated
10677800,APARTMENT,APARTMENT,Deurne,Antwerp,2100,299000,residential_sale,2,38,installed,,True,,,True,25.0,106.0,,3.0,,just_renovated
10677649,APARTMENT,APARTMENT,Uccle,Brussels,1180,315000,residential_sale,2,0,installed,False,False,True,6.0,,,77.0,,2.0,False,as_new
10677382,APARTMENT,APARTMENT,Waterloo,Walloon Brabant,1410,380000,residential_sale,3,39,installed,False,False,True,8.0,,,116.0,,2.0,,good
10676530,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,594000,residential_sale,3,35,installed,True,False,True,6.0,,,78.0,,2.0,False,as_new
10479538,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,647500,residential_sale,2,0,usa_hyper_equipped,False,False,True,,,,74.0,0.0,2.0,False,just_renovated
10673143,APARTMENT,APARTMENT,Arlon,Luxembourg,6700,230000,residential_sale,1,0,installed,,True,True,,,,54.0,0.0,,,good
10673142,APARTMENT,APARTMENT,Aubange,Luxembourg,6790,260000,residential_sale,2,0,installed,,True,,,True,,110.0,0.0,4.0,,good
10673608,APARTMENT,APARTMENT,Gent,East Flanders,9000,299000,residential_sale,1,30,hyper_equipped,,True,True,9.0,,,76.0,,2.0,,good
10673609,APARTMENT,APARTMENT,GENTBRUGGE,East Flanders,9050,299000,residential_sale,1,30,hyper_equipped,,True,True,9.0,,,76.0,,2.0,,good
10631448,APARTMENT,APARTMENT,Gent,East Flanders,9000,405000,residential_sale,3,38,installed,,True,,,,,110.0,0.0,2.0,,just_renovated
10673204,APARTMENT,APARTMENT,Uccle,Brussels,1180,750000,residential_sale,2,75,hyper_equipped,False,False,True,40.0,,,197.0,0.0,4.0,False,as_new
10672667,APARTMENT,PENTHOUSE,Ixelles,Brussels,1050,200000,residential_sale,1,23,semi_equipped,False,False,True,8.0,,,43.0,,2.0,,as_new
10672892,APARTMENT,APARTMENT,Leuven,Flemish Brabant,3000,295000,residential_sale,2,25,installed,,False,True,12.0,,,81.0,,2.0,,good
10672808,APARTMENT,DUPLEX,Mechelen,Antwerp,2800,339000,residential_sale,2,0,installed,,True,True,5.0,True,6.0,90.0,0.0,1.0,False,as_new
10672511,APARTMENT,APARTMENT,Watermael-Boitsfort,Brussels,1170,345000,residential_sale,2,29,installed,False,False,True,17.0,,,88.0,0.0,,False,just_renovated
10672778,APARTMENT,APARTMENT,Gent,East Flanders,9000,549000,residential_sale,3,0,semi_equipped,False,False,True,3.0,,,145.0,,4.0,False,to_be_done_up
10672098,APARTMENT,APARTMENT,ROCOURT,Liège,4000,420000,residential_sale,3,44,installed,,True,True,18.0,,,144.0,0.0,,,good
10672317,APARTMENT,APARTMENT,Sint-Pieters-Woluwe,Brussels,1150,765000,residential_sale,4,0,hyper_equipped,False,False,True,11.0,,,253.0,0.0,2.0,False,good
10672307,APARTMENT,APARTMENT,Brussels City,Brussels,1000,985000,residential_sale,4,0,hyper_equipped,False,False,,,,,221.0,0.0,2.0,False,to_be_done_up
